s1_scene_name,s1_image_id,s1_acquisition_time,matched_image_id,sensor_pair,status
S1A_EW_GRDM_1SDH_20230329T155110_20230329T155214_047861_05C03E_8378,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230329T155110_20230329T155214_047861_05C03E_8378,2023-03-29 15:51:10,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230105T212255_20230105T212334_046654_05978A_50D1,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230105T212255_20230105T212334_046654_05978A_50D1,2023-01-05 21:22:55,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230630T134853_20230630T134953_049216_05EB02_4620,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230630T134853_20230630T134953_049216_05EB02_4620,2023-06-30 13:48:53,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230630T134749_20230630T134853_049216_05EB02_5C83,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230630T134749_20230630T134853_049216_05EB02_5C83,2023-06-30 13:47:49,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230630T120922_20230630T121027_049215_05EAFB_1952,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230630T120922_20230630T121027_049215_05EAFB_1952,2023-06-30 12:09:22,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230629T144524_20230629T144629_049202_05EA9F_5AF6,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230629T144524_20230629T144629_049202_05EA9F_5AF6,2023-06-29 14:45:24,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230629T130642_20230629T130747_049201_05EA98_7E6F,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230629T130642_20230629T130747_049201_05EA98_7E6F,2023-06-29 13:06:42,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230628T154303_20230628T154357_049188_05EA31_6E24,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230628T154303_20230628T154357_049188_05EA31_6E24,2023-06-28 15:43:03,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230628T140418_20230628T140522_049187_05EA28_E105,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230628T140418_20230628T140522_049187_05EA28_E105,2023-06-28 14:04:18,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230627T114601_20230627T114701_049171_05E9B5_5AF7,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230627T114601_20230627T114701_049171_05E9B5_5AF7,2023-06-27 11:46:01,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230626T142248_20230626T142348_049158_05E944_BA88,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230626T142248_20230626T142348_049158_05E944_BA88,2023-06-26 14:22:48,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230626T142148_20230626T142248_049158_05E944_ECF8,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230626T142148_20230626T142248_049158_05E944_ECF8,2023-06-26 14:21:48,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230624T143817_20230624T143917_049129_05E859_41EE,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230624T143817_20230624T143917_049129_05E859_41EE,2023-06-24 14:38:17,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230624T143713_20230624T143817_049129_05E859_E237,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230624T143713_20230624T143817_049129_05E859_E237,2023-06-24 14:37:13,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230621T123500_20230621T123600_049084_05E706_2DF6,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230621T123500_20230621T123600_049084_05E706_2DF6,2023-06-21 12:35:00,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230621T123356_20230621T123500_049084_05E706_4FAD,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230621T123356_20230621T123500_049084_05E706_4FAD,2023-06-21 12:33:56,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230619T143103_20230619T143202_049056_05E62C_EC11,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230619T143103_20230619T143202_049056_05E62C_EC11,2023-06-19 14:31:03,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230619T142858_20230619T143002_049056_05E62C_0EEE,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230619T142858_20230619T143002_049056_05E62C_0EEE,2023-06-19 14:28:58,No match found,Sentinel-1 only,no_match
S1A_EW_GRDM_1SDH_20230619T125013_20230619T125118_049055_05E626_D328,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230619T125013_20230619T125118_049055_05E626_D328,2023-06-19 12:50:13,No match found,Sentinel-1 only,no_match
