s1_scene_name,s1_image_id,s1_acquisition_time,matched_image_id,matched_acquisition_time,time_difference_hours,overlap_ratio,overlap_percentage,sensor_pair,matched_sensor,status
S1A_EW_GRDM_1SDH_20230329T155110_20230329T155214_047861_05C03E_8378,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230329T155110_20230329T155214_047861_05C03E_8378,2023-03-29 15:51:10,COPERNICUS/S2_SR_HARMONIZED/20230329T210051_20230329T210046_T11XMH,2023-03-29 21:02:51,5.19,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230408T125010_20230408T125114_048005_05C514_186E,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230408T125010_20230408T125114_048005_05C514_186E,2023-04-08 12:50:10,COPERNICUS/S2_SR_HARMONIZED/20230408T191911_20230408T191910_T17XMJ,2023-04-08 19:21:38,6.52,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230408T142855_20230408T142959_048006_05C51E_1D08,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230408T142855_20230408T142959_048006_05C51E_1D08,2023-04-08 14:28:55,COPERNICUS/S2_SR_HARMONIZED/20230408T200929_20230408T200927_T13XEJ,2023-04-08 20:12:15,5.72,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230409T151004_20230409T151109_048021_05C59D_AD55,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230409T151004_20230409T151109_048021_05C59D_AD55,2023-04-09 15:10:04,COPERNICUS/S2_SR_HARMONIZED/20230409T202921_20230409T202923_T12XWP,2023-04-09 20:32:24,5.37,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230410T123353_20230410T123457_048034_05C616_8D6F,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230410T123353_20230410T123457_048034_05C616_8D6F,2023-04-10 12:33:53,COPERNICUS/S2_SR_HARMONIZED/20230410T181921_20230410T181916_T18XWQ,2023-04-10 18:21:12,5.79,0.9943,99.43,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230410T155111_20230410T155215_048036_05C626_9346,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230410T155111_20230410T155215_048036_05C626_9346,2023-04-10 15:51:11,COPERNICUS/S2_SR_HARMONIZED/20230410T205019_20230410T205022_T11XMH,2023-04-10 20:52:57,5.03,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230412T121730_20230412T121835_048063_05C70C_40A9,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230412T121730_20230412T121835_048063_05C70C_40A9,2023-04-12 12:17:30,COPERNICUS/S2_SR_HARMONIZED/20230412T180919_20230412T180947_T18XVN,2023-04-12 18:11:45,5.9,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230412T153445_20230412T153549_048065_05C71E_CE44,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230412T153445_20230412T153549_048065_05C71E_CE44,2023-04-12 15:34:45,COPERNICUS/S2_SR_HARMONIZED/20230412T213039_20230412T213229_T09XWH,2023-04-12 21:33:07,5.97,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230413T143709_20230413T143814_048079_05C790_ADAA,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230413T143709_20230413T143814_048079_05C790_ADAA,2023-04-13 14:37:09,COPERNICUS/S2_SR_HARMONIZED/20230413T200851_20230413T200852_T13XEJ,2023-04-13 20:12:13,5.58,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230418T130639_20230418T130743_048151_05CA0B_F142,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230418T130639_20230418T130743_048151_05CA0B_F142,2023-04-18 13:06:39,COPERNICUS/S2_SR_HARMONIZED/20230418T182919_20230418T182926_T19XDJ,2023-04-18 18:31:20,5.41,0.6664,66.64,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230419T152630_20230419T152734_048167_05CA87_6724,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230419T152630_20230419T152734_048167_05CA87_6724,2023-04-19 15:26:30,COPERNICUS/S2_SR_HARMONIZED/20230419T221051_20230419T221053_T11XNJ,2023-04-19 22:12:18,6.76,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230420T142855_20230420T142959_048181_05CAFB_C436,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230420T142855_20230420T142959_048181_05CAFB_C436,2023-04-20 14:28:55,COPERNICUS/S2_SR_HARMONIZED/20230420T195851_20230420T200114_T13XDH,2023-04-20 20:02:35,5.56,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230421T151004_20230421T151109_048196_05CB76_4595,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230421T151004_20230421T151109_048196_05CB76_4595,2023-04-21 15:10:04,COPERNICUS/S2_SR_HARMONIZED/20230421T201849_20230421T201851_T12XWP,2023-04-21 20:22:28,5.21,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230422T123353_20230422T123457_048209_05CBEF_252A,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230422T123353_20230422T123457_048209_05CBEF_252A,2023-04-22 12:33:53,COPERNICUS/S2_SR_HARMONIZED/20230422T180919_20230422T180916_T18XVL,2023-04-22 18:12:09,5.64,0.6153,61.53,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230422T155111_20230422T155215_048211_05CBFF_7A37,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230422T155111_20230422T155215_048211_05CBFF_7A37,2023-04-22 15:51:11,COPERNICUS/S2_SR_HARMONIZED/20230422T222101_20230422T222058_T10XEP,2023-04-22 22:22:32,6.52,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230424T153445_20230424T153549_048240_05CCF6_8403,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230424T153445_20230424T153549_048240_05CCF6_8403,2023-04-24 15:34:45,COPERNICUS/S2_SR_HARMONIZED/20230424T212031_20230424T212033_T11XNK,2023-04-24 21:22:17,5.79,0.9843,98.43,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230424T153549_20230424T153649_048240_05CCF6_7114,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230424T153549_20230424T153649_048240_05CCF6_7114,2023-04-24 15:35:49,COPERNICUS/S2_SR_HARMONIZED/20230424T212031_20230424T212214_T09XWG,2023-04-24 21:23:19,5.79,0.6282,62.82,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230425T143710_20230425T143814_048254_05CD70_7F48,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230425T143710_20230425T143814_048254_05CD70_7F48,2023-04-25 14:37:10,COPERNICUS/S2_SR_HARMONIZED/20230425T205021_20230425T205020_T12XWP,2023-04-25 20:52:21,6.25,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230426T151816_20230426T151920_048269_05CDF5_8F8A,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230426T151816_20230426T151920_048269_05CDF5_8F8A,2023-04-26 15:18:16,COPERNICUS/S2_SR_HARMONIZED/20230426T201851_20230426T201848_T12XWP,2023-04-26 20:22:26,5.07,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230426T151920_20230426T152020_048269_05CDF5_BEA4,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230426T151920_20230426T152020_048269_05CDF5_BEA4,2023-04-26 15:19:20,COPERNICUS/S2_SR_HARMONIZED/20230426T211029_20230426T211238_T09XWF,2023-04-26 21:13:35,5.9,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230426T152020_20230426T152120_048269_05CDF5_EEAE,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230426T152020_20230426T152120_048269_05CDF5_EEAE,2023-04-26 15:20:20,COPERNICUS/S2_SR_HARMONIZED/20230426T201851_20230426T202402_T09WWV,2023-04-26 20:24:59,5.08,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230427T142041_20230427T142145_048283_05CE6A_9DE3,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230427T142041_20230427T142145_048283_05CE6A_9DE3,2023-04-27 14:20:41,COPERNICUS/S2_SR_HARMONIZED/20230427T194901_20230427T194900_T14XNQ,2023-04-27 19:51:52,5.52,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230428T150150_20230428T150255_048298_05CEF4_3CBD,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230428T150150_20230428T150255_048298_05CEF4_3CBD,2023-04-28 15:01:50,COPERNICUS/S2_SR_HARMONIZED/20230428T210021_20230428T210023_T11XNJ,2023-04-28 21:02:33,6.01,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230429T122549_20230429T122643_048311_05CF66_60DE,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230429T122549_20230429T122643_048311_05CF66_60DE,2023-04-29 12:25:49,COPERNICUS/S2_SR_HARMONIZED/20230429T175919_20230429T180018_T18XVN,2023-04-29 18:01:48,5.6,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230429T140415_20230429T140519_048312_05CF6F_C9CC,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230429T140415_20230429T140519_048312_05CF6F_C9CC,2023-04-29 14:04:15,COPERNICUS/S2_SR_HARMONIZED/20230429T193909_20230429T194052_T16XDN,2023-04-29 19:42:00,5.63,0.6816,68.16,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230429T154300_20230429T154404_048313_05CF7B_7C26,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230429T154300_20230429T154404_048313_05CF7B_7C26,2023-04-29 15:43:00,COPERNICUS/S2_SR_HARMONIZED/20230429T212039_20230429T212037_T10XEP,2023-04-29 21:22:45,5.66,1.0,100.0,Sentinel-1 & Sentinel-2,Sentinel-2,success
S1A_EW_GRDM_1SDH_20230430T130640_20230430T130744_048326_05CFE9_E398,COPERNICUS/S1_GRD/S1A_EW_GRDM_1SDH_20230430T130640_20230430T130744_048326_05CFE9_E398,2023-04-30 13:06:40,COPERNICUS/S2_SR_HARMONIZED/20230430T181921_20230430T182025_T18XWQ,2023-04-30 18:21:12,5.24,0.755,75.5,Sentinel-1 & Sentinel-2,Sentinel-2,success
