Granule Name,platform,startTime,stopTime,polarization,url,Sensor,Beam Mode,Orbit,Path Number,Processing Date,Processing Level,Center Lat,Center Lon,Near Start Lat,Near Start Lon,Far Start Lat,Far Start Lon,Far End Lat,Far End Lon,Near End Lat,Near End Lon,Ascending or Descending
S1A_EW_RAW__0SDH_20220930T155214_20220930T155323_045236_056839_FD32,Sentinel-1A,2022-09-30T15:52:14Z,2022-09-30T15:53:23Z,HH+HV,https://datapool.asf.alaska.edu/RAW/SA/S1A_EW_RAW__0SDH_20220930T155214_20220930T155323_045236_056839_FD32.zip,C-SAR,EW,45236,14,2022-09-30T15:52:14Z,RAW,76.0218,-130.5898,78.506,-135.8904,74.4804,-139.7158,73.442,-126.9279,77.1644,-119.5697,DESCENDING
S1A_EW_RAW__0SDH_20220930T155214_20220930T155323_045236_056839_FD32,Sentinel-1A,2022-09-30T15:52:14Z,2022-09-30T15:53:23Z,HH+HV,https://datapool.asf.alaska.edu/METADATA_RAW/SA/S1A_EW_RAW__0SDH_20220930T155214_20220930T155323_045236_056839_FD32.iso.xml,C-SAR,EW,45236,14,2022-09-30T15:52:14Z,METADATA_RAW,76.0218,-130.5898,78.506,-135.8904,74.4804,-139.7158,73.442,-126.9279,77.1644,-119.5697,DESCENDING
S1A_EW_OCN__2SDH_20220930T155218_20220930T155318_045236_056839_613C,Sentinel-1A,2022-09-30T15:52:18Z,2022-09-30T15:53:18Z,HH+HV,https://datapool.asf.alaska.edu/OCN/SA/S1A_EW_OCN__2SDH_20220930T155218_20220930T155318_045236_056839_613C.zip,C-SAR,EW,45236,14,2022-09-30T15:52:18Z,OCN,76.0876,-130.6703,76.972282,-120.108109,78.351463,-136.408417,74.832588,-139.756622,73.707825,-126.5989,DESCENDING
S1A_EW_OCN__2SDH_20220930T155218_20220930T155318_045236_056839_613C,Sentinel-1A,2022-09-30T15:52:18Z,2022-09-30T15:53:18Z,HH+HV,https://datapool.asf.alaska.edu/METADATA_OCN/SA/S1A_EW_OCN__2SDH_20220930T155218_20220930T155318_045236_056839_613C.iso.xml,C-SAR,EW,45236,14,2022-09-30T15:52:18Z,METADATA_OCN,76.0876,-130.6703,76.972282,-120.108109,78.351463,-136.408417,74.832588,-139.756622,73.707825,-126.5989,DESCENDING
S1A_EW_GRDM_1SDH_20220930T155218_20220930T155318_045236_056839_D126,Sentinel-1A,2022-09-30T15:52:18Z,2022-09-30T15:53:18Z,HH+HV,https://datapool.asf.alaska.edu/METADATA_GRD_MD/SA/S1A_EW_GRDM_1SDH_20220930T155218_20220930T155318_045236_056839_D126.iso.xml,C-SAR,EW,45236,14,2022-09-30T15:52:18Z,METADATA_GRD_MD,76.0874,-130.6698,76.972038,-120.107437,78.351311,-136.408005,74.832436,-139.756287,73.707596,-126.598274,DESCENDING
S1A_EW_GRDM_1SDH_20220930T155218_20220930T155318_045236_056839_D126,Sentinel-1A,2022-09-30T15:52:18Z,2022-09-30T15:53:18Z,HH+HV,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20220930T155218_20220930T155318_045236_056839_D126.zip,C-SAR,EW,45236,14,2022-09-30T15:52:18Z,GRD_MD,76.0874,-130.6698,76.972038,-120.107437,78.351311,-136.408005,74.832436,-139.756287,73.707596,-126.598274,DESCENDING
S1A_EW_RAW__0SDH_20220930T155114_20220930T155223_045236_056839_CADA,Sentinel-1A,2022-09-30T15:51:14Z,2022-09-30T15:52:23Z,HH+HV,https://datapool.asf.alaska.edu/RAW/SA/S1A_EW_RAW__0SDH_20220930T155114_20220930T155223_045236_056839_CADA.zip,C-SAR,EW,45236,14,2022-09-30T15:51:14Z,RAW,79.396,-124.0797,81.9861,-129.8182,78.0247,-136.4666,76.729,-120.6558,80.1791,-108.9341,DESCENDING
S1A_EW_RAW__0SDH_20220930T155114_20220930T155223_045236_056839_CADA,Sentinel-1A,2022-09-30T15:51:14Z,2022-09-30T15:52:23Z,HH+HV,https://datapool.asf.alaska.edu/METADATA_RAW/SA/S1A_EW_RAW__0SDH_20220930T155114_20220930T155223_045236_056839_CADA.iso.xml,C-SAR,EW,45236,14,2022-09-30T15:51:14Z,METADATA_RAW,79.396,-124.0797,81.9861,-129.8182,78.0247,-136.4666,76.729,-120.6558,80.1791,-108.9341,DESCENDING
S1A_EW_OCN__2SDH_20220930T155114_20220930T155218_045236_056839_3062,Sentinel-1A,2022-09-30T15:51:14Z,2022-09-30T15:52:18Z,HH+HV,https://datapool.asf.alaska.edu/OCN/SA/S1A_EW_OCN__2SDH_20220930T155114_20220930T155218_045236_056839_3062.zip,C-SAR,EW,45236,14,2022-09-30T15:51:14Z,OCN,79.5625,-123.83,80.200089,-108.837082,82.059914,-130.044998,78.351738,-136.409241,76.972481,-120.107613,DESCENDING
S1A_EW_OCN__2SDH_20220930T155114_20220930T155218_045236_056839_3062,Sentinel-1A,2022-09-30T15:51:14Z,2022-09-30T15:52:18Z,HH+HV,https://datapool.asf.alaska.edu/METADATA_OCN/SA/S1A_EW_OCN__2SDH_20220930T155114_20220930T155218_045236_056839_3062.iso.xml,C-SAR,EW,45236,14,2022-09-30T15:51:14Z,METADATA_OCN,79.5625,-123.83,80.200089,-108.837082,82.059914,-130.044998,78.351738,-136.409241,76.972481,-120.107613,DESCENDING
