sceneName,s1_start,s1_end,s1_url,cs2_path,cs2_time_min,cs2_time_max,num_matched_points
S1A_EW_GRDM_1SDH_20230329T155110_20230329T155214_047861_05C03E_8378,2023-03-29 15:51:10,2023-03-29 15:52:14,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230329T155110_20230329T155214_047861_05C03E_8378.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230329T173455_20230329T173845_E001.nc,2023-03-29 17:39:20.304681984,2023-03-29 17:39:21.208829056,2
S1A_EW_GRDM_1SDH_20230105T212255_20230105T212334_046654_05978A_50D1,2023-01-05 21:22:55,2023-01-05 21:23:34,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230105T212255_20230105T212334_046654_05978A_50D1.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230105T194558_20230105T194809_E001.nc,2023-01-05 19:46:46.582919936,2023-01-05 19:47:16.579133952,34
S1A_IW_GRDH_1SDH_20230105T194528_20230105T194553_046653_059785_C4E7,2023-01-05 19:45:28,2023-01-05 19:45:53,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230105T194528_20230105T194553_046653_059785_C4E7.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230105T180803_20230105T180905_E001.nc,2023-01-05 18:08:45.389731968,2023-01-05 18:09:09.914596992,28
S1A_EW_GRDM_1SDH_20230630T134853_20230630T134953_049216_05EB02_4620,2023-06-30 13:48:53,2023-06-30 13:49:53,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230630T134853_20230630T134953_049216_05EB02_4620.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230630T115732_20230630T120238_E001.nc,2023-06-30 12:01:30.651656960,2023-06-30 12:01:47.760818944,20
S1A_EW_GRDM_1SDH_20230630T134749_20230630T134853_049216_05EB02_5C83,2023-06-30 13:47:49,2023-06-30 13:48:53,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230630T134749_20230630T134853_049216_05EB02_5C83.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230630T115732_20230630T120238_E001.nc,2023-06-30 12:01:48.661628928,2023-06-30 12:03:07.955597056,89
S1A_EW_GRDM_1SDH_20230630T120922_20230630T121027_049215_05EAFB_1952,2023-06-30 12:09:22,2023-06-30 12:10:27,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230630T120922_20230630T121027_049215_05EAFB_1952.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230630T102149_20230630T102404_E001.nc,2023-06-30 10:22:25.685309952,2023-06-30 10:23:28.708249984,71
S1A_EW_GRDM_1SDH_20230629T144524_20230629T144629_049202_05EA9F_5AF6,2023-06-29 14:45:24,2023-06-29 14:46:29,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230629T144524_20230629T144629_049202_05EA9F_5AF6.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230629T124858_20230629T125249_E001.nc,2023-06-29 12:52:21.242471040,2023-06-29 12:53:26.108185088,73
S1A_EW_GRDM_1SDH_20230629T130642_20230629T130747_049201_05EA98_7E6F,2023-06-29 13:06:42,2023-06-29 13:07:47,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230629T130642_20230629T130747_049201_05EA98_7E6F.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230629T111216_20230629T111426_E001.nc,2023-06-29 11:13:06.780729088,2023-06-29 11:14:20.571643008,83
S1A_EW_GRDM_1SDH_20230628T154303_20230628T154357_049188_05EA31_6E24,2023-06-28 15:43:03,2023-06-28 15:43:57,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230628T154303_20230628T154357_049188_05EA31_6E24.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230628T133846_20230628T134259_E001.nc,2023-06-28 13:43:07.288889088,2023-06-28 13:43:35.207958016,32
S1A_EW_GRDM_1SDH_20230628T140418_20230628T140522_049187_05EA28_E105,2023-06-28 14:04:18,2023-06-28 14:05:22,https://datapool.asf.alaska.edu/GRD_MD/SA/S1A_EW_GRDM_1SDH_20230628T140418_20230628T140522_049187_05EA28_E105.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230628T115922_20230628T120435_E001.nc,2023-06-28 12:04:18.116145024,2023-06-28 12:04:51.738459904,37
S1A_IW_GRDH_1SDH_20230628T122528_20230628T122546_049186_05EA1E_98F2,2023-06-28 12:25:28,2023-06-28 12:25:46,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDH_20230628T122528_20230628T122546_049186_05EA1E_98F2.zip,E:\NWP\CS2\2023\CS_OFFL_SIR_SIN_2__20230628T102400_20230628T102559_E001.nc,2023-06-28 10:25:28.558148992,2023-06-28 10:25:45.650974080,20
